LoyaltyID,Customer ID,Senior Citizen,Partner,Dependents,Tenure,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly Charges,Total Charges,Gender,Age,Under 30,Senior Citizen,Married,Dependents,Number of Dependents,City,Zip Code,Latitude,Longitude,Population,Total Revenue,Satisfaction Score,Customer Status,Churn Value,Churn Score,Churn Category,Churn Reason
318537,7590-VHVEG,No,Yes,No,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,29.85,29.85,Female,36,No,No,Yes,No,0,Los Angeles,90001,33.973616,-118.24902,54492,29.85,3,Joined,0,27,0,0
152148,5575-GNVDE,No,No,No,34,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,No,Mailed check,56.95,1889.5,Male,46,No,No,No,No,0,Los Angeles,90002,33.949255,-118.246978,44586,2470.56,3,Stayed,0,61,0,0
326527,3668-QPYBK,No,No,No,2,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,53.85,108.15,Male,37,No,No,No,No,0,Los Angeles,90003,33.964131,-118.272783,58198,129.09,1,Churned,1,86,Competitor,Competitor made better offer
845894,7795-CFOCW,No,No,No,45,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),42.3,1840.75,Male,53,No,No,No,No,0,Los Angeles,90004,34.076259,-118.310715,67852,1840.75,3,Stayed,0,66,0,0
503388,9237-HQITU,No,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.7,151.65,Female,19,Yes,No,No,Yes,2,Los Angeles,90005,34.059281,-118.30742,43019,169.89,2,Churned,1,67,Other,Moved
160192,9305-CDSKC,No,No,No,8,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.65,820.5,Female,31,No,No,No,Yes,2,Los Angeles,90006,34.048013,-118.293953,62784,917.7,3,Churned,1,86,Other,Moved
680623,1452-KIOVK,No,No,Yes,22,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),89.1,1949.4,Male,42,No,No,No,Yes,3,Los Angeles,90007,34.027337,-118.28515,45025,2599.28,4,Stayed,0,43,0,0
340874,6713-OKOMC,No,No,No,10,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,29.75,301.9,Female,42,No,No,No,No,0,Los Angeles,90008,34.008293,-118.346766,30852,301.9,3,Stayed,0,51,0,0
582674,7892-POOKP,No,Yes,No,28,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.8,3046.05,Female,23,Yes,No,Yes,Yes,3,Los Angeles,90010,34.062125,-118.315709,1957,3182.97,3,Churned,1,84,Other,Moved
303784,6388-TABGU,No,No,Yes,62,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,Bank transfer (automatic),56.15,3487.95,Male,48,No,No,No,No,0,Los Angeles,90011,34.00709,-118.258681,101215,3981.47,4,Stayed,0,58,0,0
925283,9763-GRSKD,No,Yes,Yes,13,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,49.95,587.45,Male,37,No,No,Yes,Yes,2,Los Angeles,90012,34.065875,-118.238728,30596,1123.29,3,Stayed,0,76,0,0
185808,7469-LKBCI,No,No,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),18.95,326.8,Male,21,Yes,No,No,No,0,Los Angeles,90013,34.044639,-118.240413,9732,848.72,3,Stayed,0,39,0,0
158680,8091-TTVAX,No,Yes,No,58,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),100.35,5681.1,Male,39,No,No,Yes,No,0,Los Angeles,90014,34.043144,-118.251977,3524,6011.12,3,Stayed,0,71,0,0
933642,0280-XJGEX,No,No,No,49,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.7,5036.3,Male,38,No,No,No,Yes,1,Los Angeles,90015,34.039224,-118.266293,15140,7208.47,1,Churned,1,89,Competitor,Competitor had better devices
529260,5129-JLPIS,No,No,No,25,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,105.5,2686.05,Male,27,Yes,No,No,No,0,Los Angeles,90016,34.028331,-118.354338,46984,2946.05,3,Stayed,0,75,0,0
663513,3655-SNQYZ,No,Yes,Yes,69,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),113.25,7895.15,Female,48,No,No,Yes,No,0,Los Angeles,90017,34.052842,-118.264495,20692,10188.02,4,Stayed,0,43,0,0
698246,8191-XWSZG,No,No,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.65,1022.95,Female,57,No,No,No,No,0,Los Angeles,90018,34.028735,-118.317236,47143,2195.55,4,Stayed,0,35,0,0
359335,9959-WOFKT,No,No,Yes,71,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),106.7,7382.25,Male,61,No,No,No,No,0,Los Angeles,90019,34.049841,-118.33846,67520,8423.82,3,Stayed,0,73,0,0
587516,4190-MFLUW,No,Yes,Yes,10,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),55.2,528.35,Female,21,Yes,No,Yes,No,0,San Diego,92121,32.898613,-117.202937,4258,622.45,1,Churned,1,78,Competitor,Competitor made better offer
584979,4183-MYFRB,No,No,No,21,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,90.05,1862.9,Female,30,No,No,No,No,0,Los Angeles,90021,34.029043,-118.239504,3012,2029.19,3,Stayed,0,57,0,0
352579,8779-QRDMV,Yes,No,No,1,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,39.65,39.65,Male,78,No,Yes,No,No,0,Los Angeles,90022,34.02381,-118.156582,68701,59.65,3,Churned,1,91,Competitor,Competitor offered more data
814029,1680-VDCWW,No,Yes,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),19.8,202.25,Male,45,No,No,Yes,No,0,Los Angeles,90023,34.017697,-118.200577,47487,334.73,4,Stayed,0,77,0,0
792781,1066-JKSGK,No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.15,20.15,Male,29,Yes,No,No,No,0,Los Angeles,90024,34.066303,-118.435479,44150,53.73,1,Churned,1,92,Competitor,Competitor made better offer
960831,3638-WEABW,No,Yes,No,58,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),59.9,3505.1,Female,25,Yes,No,Yes,No,0,Los Angeles,90025,34.046174,-118.446333,41175,6345.94,3,Stayed,0,53,0,0
